а;Абаза
а;Абакан
а;Абдулино
а;Абинск
а;Агидель
а;Агрыз
а;Адыгейск
а;Азнакаево
а;Азов
а;Ак-Довурак
а;Аксай
а;Алагир
а;Алапаевск
а;Алатырь
а;Алдан
а;Алейск
а;Александров
а;Александровск
а;Александровск-Сахалинский
а;Алексеевка
а;Алексин
а;Алзамай
а;Алупка
а;Алушта
а;Альметьевск
а;Амурск
а;Анадырь
а;Анапа
а;Ангарск
а;Андреаполь
а;Анжеро-Судженск
а;Анива
а;Апатиты
а;Апрелевка
а;Апшеронск
а;Арамиль
а;Аргун
а;Ардатов
а;Ардон
а;Арзамас
а;Аркадак
а;Армавир
а;Армянск
а;Армянськ
а;Арсеньев
а;Арск
а;Артем
а;Артемовск
а;Артемовский
а;Архангельск
а;Асбест
а;Асино
а;Астрахань
а;Аткарск
а;Ахтубинск
а;Ахтубинск 7
а;Ахтубинск-7
а;Ачинск
а;Аша
б;Бабаево
б;Бабушкин
б;Бавлы
б;Багратионовск
б;Байкальск
б;Байконур
б;Баймак
б;Бакал
б;Баксан
б;Балабаново
б;Балаково
б;Балахна
б;Балашиха
б;Балашов
б;Балей
б;Балтийск
б;Барабинск
б;Барнаул
б;Барыш
б;Батайск
б;Бахчисарай
б;Беднодемьяновск
б;Бежецк
б;Белая Калитва
б;Белая Холуница
б;Белгород
б;Белебей
б;Белев
б;Белинский
б;Белово
б;Белогорск
б;Белозерск
б;Белокуриха
б;Беломорск
б;Белорецк
б;Белореченск
б;Белоусово
б;Белоярский
б;Белый
б;Бердск
б;Березники
б;Березовский
б;Беслан
б;Бийск
б;Бикин
б;Билибино
б;Биробиджан
б;Бирск
б;Бирюсинск
б;Бирюч
б;Благовещенск
б;Благодарный
б;Бобров
б;Богданович
б;Богородицк
б;Богородск
б;Боготол
б;Богучар
б;Бодайбо
б;Бокситогорск
б;Болгар
б;Бологое
б;Болотное
б;Болохово
б;Болхов
б;Большой Камень
б;Бор
б;Борзя
б;Борисоглебск
б;Боровичи
б;Боровск
б;Боровск-1
б;Бородино
б;Братск
б;Бронницы
б;Брянск
б;Бугульма
б;Бугуруслан
б;Буденновск
б;Бузулук
б;Буй
б;Буйнакск
б;Буинск
б;Бутурлиновка
в;Валдай
в;Валуйки
в;Велиж
в;Великие Луки
в;Великие Луки-1
в;Великий Новгород
в;Великий Устюг
в;Вельск
в;Венев
в;Верещагино
в;Верея
в;Верхнеуральск
в;Верхний Тагил
в;Верхний Уфалей
в;Верхняя Пышма
в;Верхняя Салда
в;Верхняя Тура
в;Верхотурье
в;Верхоянск
в;Весьегонск
в;Ветлуга
в;Видное
в;Вилюйск
в;Вилючинск
в;Вихоревка
в;Вичуга
в;Владивосток
в;Владикавказ
в;Владимир
в;Волгоград
в;Волгодонск
в;Волгореченск
в;Волжск
в;Волжский
в;Вологда
в;Володарск
в;Волоколамск
в;Волосово
в;Волхов
